category,solver,problem_size,lcp_dimension,contact_count,solver_identity_schema_version,solver_manifest_index,solver_family_pivoting,solver_family_projection,solver_family_newton,solver_family_other,time_ns,contract_ok,iterations,residual,complementarity,bound_violation,solver_supports_standard,solver_supports_boxed,solver_supports_friction_index,solver_supports_problem,problem_type_standard,problem_type_boxed,problem_type_friction_index,problem_type_invalid
Boxed,Pgs,12,12,,1,5,0,1,0,0,1111.9696916342748,1,6,1.3396582509983546e-08,1.3396582509983546e-08,0,1,1,1,1,0,1,0,0
Boxed,Pgs,24,24,,1,5,0,1,0,0,2861.440328426846,1,6,1.4804876293794678e-06,1.4804876293794678e-06,0,1,1,1,1,0,1,0,0
Boxed,Pgs,48,48,,1,5,0,1,0,0,9720.0632894523405,1,7,1.6097986055285674e-06,1.6097986055285674e-06,0,1,1,1,1,0,1,0,0
Boxed,RedBlackGaussSeidel,12,12,,1,8,0,1,0,0,1359.1843094799838,1,0,8.8817841970012523e-16,8.8817841970012523e-16,0,1,1,1,1,0,1,0,0
Boxed,RedBlackGaussSeidel,24,24,,1,8,0,1,0,0,3476.5568413261331,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,1,0,0
Boxed,RedBlackGaussSeidel,48,48,,1,8,0,1,0,0,13577.379981908965,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,0,1,0,0
Boxed,Sap,12,12,,1,23,0,0,0,1,1244.0917563379057,1,0,8.8817841970012523e-16,8.8817841970012523e-16,0,1,1,1,1,0,1,0,0
Boxed,Sap,24,24,,1,23,0,0,0,1,3331.4932442283575,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,1,0,0
Boxed,Sap,48,48,,1,23,0,0,0,1,13254.603412073553,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,0,1,0,0
Boxed,ShockPropagation,12,12,,1,20,0,0,0,1,1601.3849114472625,1,0,8.8817841970012523e-16,8.8817841970012523e-16,0,1,1,1,1,0,1,0,0
Boxed,ShockPropagation,24,24,,1,20,0,0,0,1,3851.7158498123454,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,1,0,0
Boxed,ShockPropagation,48,48,,1,20,0,0,0,1,14909.542069632422,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,0,1,0,0
Boxed,SubspaceMinimization,12,12,,1,12,0,1,0,0,1270.7569515364014,1,0,8.8817841970012523e-16,8.8817841970012523e-16,0,1,1,1,1,0,1,0,0
Boxed,SubspaceMinimization,24,24,,1,12,0,1,0,0,3564.9126542979843,1,0,3.5527136788005009e-15,3.5527136788005009e-15,0,1,1,1,1,0,1,0,0
Boxed,SubspaceMinimization,48,48,,1,12,0,1,0,0,13396.053972537477,1,0,1.0658141036401503e-14,1.0658141036401503e-14,0,1,1,1,1,0,1,0,0
Boxed,SymmetricPsor,12,12,,1,6,0,1,0,0,1315.3927006117362,1,0,8.8817841970012523e-16,8.8817841970012523e-16,0,1,1,1,1,0,1,0,0
